Case Number,Date,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Species,Investigator or Source,pdf,href formula,original order,Date_alterated
1964.02.10,1964-02-10 00:00:00,Unprovoked,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",Spearfishing,M,"no injury to diver, shark bit speargun",N,"White shark, 3 m [10'] ","R.D. Weeks, GSAF; Otago Daily Times, 2/11/1964, p1; Wellington Evening Post, 2/17/1960",1964.02.10-Markham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.10-Markham.pdf,2523,No
1964.02.08,1964-02-08 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Boarding,M,right ankle lacerated,N,"White shark, 1.5 m [5'] k","D. Davies; M. Levine, GSAF",1964.02.08-Saffery.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.08-Saffery.pdf,2522,No
1964.02.05.b,1964-02-05 00:00:00,Unprovoked,NEW ZEALAND,North Island,"Hokio Beach, near Levin",Lying,M,right leg & shoulder lacerated,N,"""sand shark""","R.D. Weeks, GSAF",1964.02.05.b-Hokio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.05.b-Hokio.pdf,2521,No
1964.02.05.a,1964-02-05 00:00:00,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Swimming,M,"fatal, both legs bitten & right leg severed at knee",Y,"White shark, 3 m to 3.7 m [10' to 12'] ","R.D. Weeks, GSAF; Otago Daily Times, 2/6/1964 & 2/7/1964",1964.02.05.a-Jordan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.05.a-Jordan.pdf,2520,No
1964.02.02,1964-02-02 00:00:00,Invalid,AUSTRALIA,Queensland,Brisbane,Swimming,M,body not recovered  / may have drowned prior to shark involvement,Y,,H.D.Baldridge (1994) SAF Case #1336,1964.02.02-NV-Buckley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.02-NV-Buckley.pdf,2519,No
1964.02.01,1964-02-01 00:00:00,Boat,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",Rowing,,"no injury to occupants , shark nudged oars",N,1.8 m [6'] shark,"New Zealand Herald, 2/2/1964;  SAF Case #1335",1964.02.01-Dinghy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.01-Dinghy.pdf,2518,No
1964.02.00.b,1964-02-01 00:00:00,Unprovoked,USA,Florida,Palm Beach County,Floating,M,no injury,N,Hammerhead shark,"H.D.Baldridge, SAF Case #1487",1964.02.00.b-NV-Feustel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.00.b-NV-Feustel.pdf,2517,Yes
1964.02.00.a,1964-02-01 00:00:00,Unprovoked,COSTA RICA,Puntarenas Province,Puntarenas,Swimming,M,"fatal, right arm & left thigh bitten",Y,,"E. Vargas, M.D.",1964.02.00.a-CostaRica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.02.00.a-CostaRica.pdf,2516,Yes
1964.01.27,1964-01-27 00:00:00,Unprovoked,FIJI,nan,70 miles from Suva,Spearfishing,,fatal,Y,,"Long Beach Independent, 1/281964 ",1964.01.27-Lapin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.27-Lapin.pdf,2515,No
1964.01.23,1964-01-23 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,heel & ankle bitten,N,,"D. Davies, Daily Dispatch (East London), 1/24/1964 M. Levine, GSAF",1964.01.23-Carlson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.23-Carlson.pdf,2514,No
1964.01.22,1964-01-22 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Standing,M,heel bitten,N,,"D. Davies; Daily Dispatch (East London), 1/23/1964, M. Levine, GSAF",1964.01.22-Holder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.22-Holder.pdf,2513,No
1964.01.21,1964-01-21 00:00:00,Boat,SOUTH AFRICA,Western Cape Province,20 m from shore at Strand,Watching,,"no injury to occupants, shark holed  boat",N,"White shark, 3.6 m [11'9""] ",GSAF,1964.01.21-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.21-boat.pdf,2512,No
1964.01.18,1964-01-18 00:00:00,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay,Freediving,M,arm lacerated,N,Wobbegong,"G.P. Whitley, citing Sydney Morning Herald, 1/21/1964",1964.01.18-Hastie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.18-Hastie.pdf,2511,No
1964.01.11,1964-01-11 00:00:00,Unprovoked,USA,California,Southeast Farallon Island,Spearfishing,M,leg & thigh bitten,N,White shark (tooth fragment recovered),"R. Collier, p.261-264; D. Miller & R. Collier; R. Collier, pp.26-40",1964.01.11-Rochette_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.11-Rochette_Collier.pdf,2510,No
1964.01.06.R,1964-01-06 00:00:00,Unprovoked,PAPUA NEW GUINEA,New Britain,nan,Fishing,M,fatal,Y,Tiger shark,"Oldham Evening Chronicle, 1/6/1964",1964.01.06.R-NewBritain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.06.R-NewBritain.pdf,2509,No
1964.01.04,1964-01-04 00:00:00,Unprovoked,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,Swimming,F,deep lacerations to her right thigh,N,,SAF Case #1250,1964.01.04-Meve.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.04-Meve.pdf,2508,No
1964.01.01.b,1964-01-01 00:00:00,Unprovoked,AUSTRALIA,Western Australia,Metro coast,,,nan,,,"T. Peake, GSAF",1964.01.01.b-NV-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.01.b-NV-Edwards.pdf,2507,No
1964.01.01.a,1964-01-01 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Diving,M,lacerations and puncture wounds in right arm,N,2.1 m to 2.4 m  [7' to 8'] shark,"The Argus, 1/3/1964",1964.01.01.b-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.01.b-Edwards.pdf,2506,No
1964.01.00,1964-01-01 00:00:00,Invalid,NEW ZEALAND,North Island,White Island,Snorkeling,M,no injury,N,White shark,"H.D.Baldridge (1994) SAF Case #1484, Note: Unable to verify in local records.",1964.01.00-NV-Sneddon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1964.01.00-NV-Sneddon.pdf,2505,Yes
1963.12.29,1963-12-29 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shakas Rock",Standing,F,"right hand & foot severed, thigh & buttock lacerated",N,"Zambesi shark, 1.8 m [6'] ","B. Strauss, D. Davies, 121-122; Daily Dispatch, 4/24/1964; M.  Levine, GSAF",1963.12.29-Strauss.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.29-Strauss.pdf,2504,No
1963.12.26.b,1963-12-26 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,Swimming,M,"lower leg bitten & foot severed, leg surgically amputated below knee",N,1.8 m [6']  shark,"D.  Davies, pp.120-121; M. Levine, GSAF",1963.12.26.b-deWet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.26.b-deWet.pdf,2503,No
1963.12.26.a,1963-12-26 00:00:00,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting,M,"no injury, shark's tail struck his armpit",N,"4.3 m [14'], 1000-lb shark","Maryborough Chronicle  (Qld), 12/28/1963",1963.12.26.a-Warry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.26.a-Warry.pdf,2502,No
1963.12.25,1963-12-25 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Swimming,M,"fatal, shoulders, arms, abdomen & foot bitten",Y,,"G.V. Wienand, M. Levine, GSAF",1963.12.25-Wienand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.25-Wienand.pdf,2501,No
1963.12.22.b,1963-12-22 00:00:00,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,nan,,F,"one woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",N,Shark involvement unconfirmed,Bath Coronor report NLSC 20/64; SAF Case #1324,1963.12.22.b-Lakonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.22.b-Lakonia.pdf,2500,No
1963.12.22.a,1963-12-22 00:00:00,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",Helping,M,foot lacerated  provoked incident,N,"Dusky shark, 1 m ","M. Levine, GSAF",1963.12.22.a-Woodhams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.22.a-Woodhams.pdf,2499,No
1963.12.21,1963-12-21 00:00:00,Provoked,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,7 puncture wounds in right forearm from hooked shark provoked incident,N,"Wobbegong shark, 3' ","Daily Examiner (Grafton, NSW), 12/23/1963; J. Green, p.30",1963.12.21-Cook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.21-Cook.pdf,2498,No
1963.12.20.b,1963-12-20 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Spearfishing,M,foot lacerated,N,"White shark, 1.7 m [5.5']","D. Davies; M. Levine, GSAF",1963.12.20.b-Coetzee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.20.b-Coetzee.pdf,2497,No
1963.12.20.a,1963-12-20 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing,M,"fatal, arm severed, leg bitten",Y,300- to 400-lb Zambesi shark,"G.D. Campbell; D. Davies, pp.119-120",1963.12.20.a-Mzize.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.20.a-Mzize.pdf,2496,No
1963.12.08,1963-12-08 00:00:00,Unprovoked,AUSTRALIA,South Australia,55 miles south of Adelaide,Spearfishing,M,torso & hand lacerated,N,White shark,"H. Edwards, pp.65-66: H.D. Baldridge, pp.18-19; J. West;",1963.12.08-Fox.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.08-Fox.pdf,2495,No
1963.12.04.R,1963-12-04 00:00:00,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Pomio,Spearfishing,M,"fatal, leg severely bitten",Y,Tiger shark,"Times Courier (Lae, PNG), 12/4/1963; Oldham Evening Chronicle 1/6/1964",1963.12.04.R-Patape.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.12.04.R-Patape.pdf,2494,No
1963.11.30.b,1963-11-30 00:00:00,Unprovoked,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",Treading,M,hand & lower leg severely injured,N,Possibly a broadnose 7-gill shark,"C. Dudley, R.D. Weeks, GSAF; H.D. Baldridge, SAF Case #1467; Otago Daily Times, 12/2/1963, p.7",1963.11.30.b-Dudley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.30.b-Dudley.pdf,2493,No
1963.11.30.a,1963-11-30 00:00:00,Provoked,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Fishing,F,left arm lacerated  provoked incident,N,Tiger shark,"M. Malin; The Sun (Melbourne), 12/2/1963",1963.11.30.a-Siara.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.30.a-Siara.pdf,2492,No
1963.11.28,1963-11-28 00:00:00,Unprovoked,FIJI,Lau Province,"Dravuwalu, Totoya Island",Fishing,F,elbow bitten,N,>1.2 m [4'] tiger shark,Capt. S. B. Brown,1963.11.28-Wati.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.28-Wati.pdf,2491,No
1963.11.25,1963-11-25 00:00:00,Unprovoked,FIJI,Vita Levu,Rewa River,Spearing,M,ankle & foot bitten,N,,GSAF,1963.11.25-Sumia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.25-Sumia.pdf,2490,No
1963.11.16.R,1963-11-16 00:00:00,Unprovoked,ITALY,Sicily,Off Mondello Lighthouse,Spearfishing,M,no injury,N,,"C. Moore, GSAF",1963.11.16.R-Salito.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.16.R-Salito.pdf,2489,No
1963.11.14,1963-11-14 00:00:00,Provoked,AUSTRALIA,Queensland,Mermaid Beach,Catching,M,"no injury to occupant, netted shark rammed & bit boat provoked incident",N,"White shark, 15'2"" ","Miner (WA) & Warwick Daily News (Qld), 11/15/1963 ",1963.11.14-Nora.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.14-Nora.pdf,2488,No
1963.11.12,1963-11-12 00:00:00,Provoked,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",Testing,M,no injury provoked incident,N,"Silky shark, 1.9 m [6.5']",D.R. Nelson,1963.11.12-DonNelson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.12-DonNelson.pdf,2487,No
1963.11.05.R,1963-11-05 00:00:00,Unprovoked,PAPUA NEW GUINEA,New Britain,nan,Wading,M,thigh lacerated,N,6' shark,H.D. Baldridge (1994) SAF Case #1478,1963.11.05.R-Tule.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.05.R-Tule.pdf,2486,No
1963.11.04,1963-11-04 00:00:00,Unprovoked,PALAU,Western Caroline Islands,Koror,Fishing,M,left calf lacerated,N,Dooley believed his Injury was caused by stingray (Dasyatidae family),"R. Yalap, M.D.; H.D. Baldridge, p..104 ",1963.11.04-Dooley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.11.04-Dooley.pdf,2485,No
1963.10.16,1963-10-16 00:00:00,Unprovoked,USA,Florida,"Biltmore Beach, near Panama City",Fishing,M,"right thigh &  foot bruised, right calf  lacerated",N,500-lb shark,"H.D. Baldridge, p.109",1963.10.16-Cheatham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.10.16-Cheatham.pdf,2484,No
1963.10.15,1963-10-15 00:00:00,Provoked,NORTH PACIFIC OCEAN,nan,nan,Fishing,M,"right hand lacerated, provoked incident",N,,"J.L. Holland; The Honolulu Advertiser, 10/19/1963; SAF Cse #1209",1963.10.15-Nakata.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.10.15-Nakata.pdf,2483,No
1963.09.29,1963-09-29 00:00:00,Unprovoked,CHILE,nan,"El Panul, 12km south of Coquimbo",Spearfishing,M,fatal,Y,"White shark, 4 m [13'] rk",J. McCosker & A.C. Engana,1963.09.29-Urizar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.09.29-Urizar.pdf,2482,No
1963.09.26,1963-09-26 00:00:00,Invalid,USA,Florida,100 miles offshore,Fishing,,sharks tried to overturn raft and took mrs. dumas' body; scavenging by shark/s,Y,numerous dusky sharks & a 3 m to 4.6 m [10' to 15'] to  tiger shark,"Washington Post, 9/27/1963; SAF Case #1221",1963.09.26-Dumas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.09.26-Dumas.pdf,2481,No
1963.09.22,1963-09-22 00:00:00,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,Spearing,M,"fatal, right thigh, calf & foot bitten",Y,5.5 m [18'] shark,"M.L. Aylett, Fisheries Officer; H.D. Baldridge, p.148  ",1963.09.22-Dovi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.09.22-Dovi.pdf,2480,No
1963.09.13,1963-09-13 00:00:00,Provoked,AUSTRALIA,New South Wales,Wanda Beach,Surfing,M,"a ""dead"" shark grabbed by the tail bit his right torso provoked incident",N,1.5 m [5'] shark,"P. Barron; Goulburn Evening Post; J. Green, p.35",1963.09.13-Barron.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.09.13-Barron.pdf,2479,No
1963.09.10,1963-09-10 00:00:00,Provoked,USA,Florida,"Snapper Point Jetty, Miami, Dade County",Spearfishing,M,minor injury to left forearm  provoked incident,N,"Nurse shark, 1.2 m [4'] ","H.D. Baldridge, p.166; SAF Case #1284",1963.09.10-Olsen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.09.10-Olsen.pdf,2478,No
1963.08.00,1963-08-01 00:00:00,Unprovoked,DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,Swimming,M,"fatal. eyewitness said, ""one was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly.""",Y,8 sharks,"A. Gigante, Jr; H.D. Baldridge; M. McDiarmid, p.72",1963.08.00-2males.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.08.00-2males.pdf,2477,Yes
1963.07.28,1963-07-28 00:00:00,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",Spearfishing,M,upper left arm bitten,N,Tiger shark,"K. Aniol, Medical Officer",1963.07.28-Akira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.07.28-Akira.pdf,2476,No
1963.07.15,1963-07-15 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,"left forearm bitten, surgically amputated?",N,,"Orlando Sentinel, 7/16/1963",1963.07.15-Driscoll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.07.15-Driscoll.pdf,2475,No
1963.07.11,1963-07-11 00:00:00,Provoked,USA,Mississippi,Horn Island,Fishing,M,"cuts on right hand, provoked incident",N,1.2 m [4'] shark,"Gulfport Herald, 7/12/1963; SAF Case #1218",1963.07.11-Mason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.07.11-Mason.pdf,2474,No
1963.07.10.R,1963-07-10 00:00:00,Sea Disaster,JAMAICA,nan,nan,Fishing,,no survivors & a body sighted could not be recovered because of sharks,Y,,"The Blade (Toledo, OH), 7/10/1963",1963.07.10.R-Sno'Boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.07.10.R-Sno'Boy.pdf,2473,No
1963.07.00,1963-07-01 00:00:00,Unprovoked,PANAMA,San Blas coast,"4 miles from Tuwala, near Mulatuppu",Seining,M,"fatal, foot nearly severed",Y,,H. Loftin,1963.07.00-Tuwala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.07.00-Tuwala.pdf,2472,Yes
1963.06.01.b,1963-06-01 00:00:00,Unprovoked,GREECE,Thessaly,near Trikerion Island,Swimming,F,fatal,Y,"White shark, 3 m ",A. De Maddalena,1963.06.01.b-Pogl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.06.01.b-Pogl.pdf,2471,No
1963.06.01.a,1963-06-01 00:00:00,Provoked,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,Fishing,M,"hooked shark bit his nose, arm and leg provoked incident",N,1.8 m [6'] shark,"Pacific Post (Port Moresby), 6/4/1963",1963.06.01.a-Au_Kila.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.06.01.a-Au_Kila.pdf,2470,No
1963.05.18,1963-05-18 00:00:00,Invalid,USA,California,San Mateo County,Swimming,M,3 lacerations below right knee,N,Shark involvement not confirmed,"San Mateo Times, 5/22/1963",1963.05.18-Moffatt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.05.18-Moffatt.pdf,2469,No
1963.05.14,1963-05-14 00:00:00,Sea Disaster,PHILIPPINES,Luzon Island,100 miles southeast of Manila,,M,"of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.",Y,,"Advertiser (Adelaide), 5/21/1963 ",1963.05.14-PhilippineBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.05.14-PhilippineBoat.pdf,2468,No
1963.04.22,1963-04-22 00:00:00,Provoked,AUSTRALIA,New South Wales,Clarence Head,Fishing,M,foot lacerated by netted shark provoked incident,N,Grey nurse shark,H.D. Baldridge (1994) SAF Case #1472,1963.04.22-NV-Sonter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.22-NV-Sonter.pdf,2467,No
1963.04.20,1963-04-20 00:00:00,Unprovoked,USA,US Virgin Islands,"St. Thomas, Magens Bay",Swimming,M,"fatal, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed",Y,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis","G.W. Kirby, Jr.;  NY Times, 1/22/1963",1963.04.20-Gibson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.20-Gibson.pdf,2466,No
1963.04.17,1963-04-17 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,buttock bitten,N,,"D. Davies, p.118-119; M. Levine, GSAF",1963.04.17-Fourie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.17-Fourie.pdf,2465,No
1963.04.13,1963-04-13 00:00:00,Unprovoked,AUSTRALIA,Western Australia,Yallingup,Surfing,M,arm bitten,N,1.8 m to 2.4 m  [6' to 8'] shark,"G.P. Whitley; NSW newspapers of 4/14&15/1963; H.D. Baldridge, p. 142",1963.04.13-Audas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.13-Audas.pdf,2464,No
1963.04.12,1963-04-12 00:00:00,Unprovoked,USA,Hawaii,"Awili, South Kona, Hawai'i",Surfing,M,left foot & leg bitten,N,3.7 to 4.5 m [12' to 15'] shark seen in vicinity,"L. Taylor (1993), pp.102-103",1963.04.12-Aka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.12-Aka.pdf,2463,No
1963.04.08,1963-04-08 00:00:00,Invalid,USA,Hawaii,"Hapuna Beach, Hawai'i",Picking,M,"may have drowned prior to shark involvement, partial remains recovered",Y,,"J. Borg, p.73; L. Taylor (1993), pp.102-103",1963.04.08-Kametani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.04.08-Kametani.pdf,2462,No
1963.03.30,1963-03-30 00:00:00,Sea Disaster,SOLOMON ISLANDS,Bougainville (North Solomons),nan,,M,fatal,Y,,"Sydney Morning Herald, 4/6/1963",1963.03.30-Viva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.03.30-Viva.pdf,2461,No
1963.02.27,1963-02-27 00:00:00,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Namatanai,Swimming,M,right shoulder bitten,N,,"Times-Courier (Lae), 3/6/1963",1963.02.27-Totoba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.02.27-Totoba.pdf,2460,No
1963.02.24,1963-02-24 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,Spearfishing,M,left leg lacerated,N,"Bronze whaler shark, 3 m [10'] ","R. Funnell in Australian Skindiver Magazine, June/July 1963, p.8; J. Green, p.35",1963.02.24-Dunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.02.24-Dunn.pdf,2459,No
1963.02.08,1963-02-08 00:00:00,Unprovoked,FIJI,Lomaiviti  Island Group,"Taibaisa Passage, Gau Island",Spearfishing,M,left arm bitten,N,"White shark, 2.1 m [7'] ","S. Brown, P. Helfrich",1963.02.08-Waiteatei.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.02.08-Waiteatei.pdf,2458,No
1963.02.06,1963-02-06 00:00:00,Unprovoked,MAURITIUS,Rodrigues,nan,,M,laceration to right forearm,N,,"L'Express, 5/2/2007",1963.02.06-Rose.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.02.06-Rose.pdf,2457,No
1963.02.04,1963-02-04 00:00:00,Invalid,USA,Florida,Off Key West,,M,shark involvement unconfirmed. two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen,Y,,"NY Journal of Commerce, 3/29/1963;Wikipedia ",1963.02.04-MarineSulphurQueen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.02.04-MarineSulphurQueen.pdf,2456,No
1963.01.30,1963-01-30 00:00:00,Unprovoked,FIJI,nan,nan,Freediving,M,hand & arm severely lacerated,N,,"H.D. Baldridge, SAF Case #1477",1963.01.30-NV-Kuruvakaruai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.30-NV-Kuruvakaruai.pdf,2455,No
1963.01.28,1963-01-28 00:00:00,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",Wading,F,"fatal, right femoral artery severed, thigh, calf, buttock & left hand bitten",Y,"Tooth fragments of whaler shark were recovered, a bull shark, according to Edwards","Dr. P.R. Coyne; A. Sharpe, pp.7-12; A. MacCormick, pp.15-18; H. Edwards, pp.102 & 108",1963.01.28-Hathaway.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.28-Hathaway.pdf,2454,No
1963.01.26,1963-01-26 00:00:00,Invalid,AUSTRALIA,New South Wales,Evans Head,Swimming,M,"9' shark in area when he disappeared, body not recovered",Y,,"Sydney Morning Herald, 1/29/1963 ",1963.01.26-Wilmot.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.26-Wilmot.pdf,2453,No
1963.01.22,1963-01-22 00:00:00,Boat,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,,"no injury to occupant, shark leapt inside boat",N,193-lb shark,"Scarborough Evening News (Yorks, England), 1/22/1963 ",1963.01.22.R-FalseBayBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.22.R-FalseBayBoat.pdf,2452,No
1963.01.14,1963-01-14 00:00:00,Provoked,NEW ZEALAND,North Island,"Petone Beach, Wellington",Fishing,,minor lacerations to hand and arm after he seized the shark's tail provoked incident,N,"Grey nurse shark, 1.8 m [6'] ","R.D. Weeks, GSAF; Otago Daily Times, 1/15/1963, p.1",1963.01.14-Alexander.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.14-Alexander.pdf,2451,No
1963.01.12,1963-01-12 00:00:00,Provoked,SOUTH AFRICA,Eastern Cape Province,Humewood,Fishing,M,foot bitten by shark hooked & taken on boat  provoked incident,N,<1.5 m shark,GSAF,1963.01.12-Mankowitz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.12-Mankowitz.pdf,2450,No
1963.01.11,1963-01-11 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti",Diving,M,lacerations & punctures on left  forearm,N,1 m shark,"D. Davies, D'Aubrey; B. Blackmore; M. Levine, GSAF",1963.01.11-Blackmore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.11-Blackmore.pdf,2449,No
1963.01.06,1963-01-06 00:00:00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",Spearfishing,M,lacerations to right  arm,N,"Zambesi shark, 2 m [6'9""] ","D. Davies, p.117-118; C. Passmore, M. Levine, GSAF",1963.01.06-Passmore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.06-Passmore.pdf,2448,No
1963.01.04,1963-01-04 00:00:00,Provoked,AUSTRALIA,South Australia,Off Franklin Island between Streaky Bay & Ceduna,Fishing,,no injury to occupants; hooked shark slammed into side of boat provoked incident,N,"White shark, 16', 2,312-lb ",SAF Case #1184,1963.01.04-AlfDean.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.04-AlfDean.pdf,2447,No
